Date,Region,Product,Quantity Sold,Unit Price,Total Revenue
2023-01-01,North,Product A,10,200,2000
2023-01-02,South,Product B,15,150,2250
2023-01-03,East,Product C,8,180,1440
2023-01-04,West,Product D,20,220,4400
2023-01-05,North,Product A,10,200,2000
2023-01-06,South,Product B,15,150,2250
2023-01-07,East,Product C,8,180,1440
2023-01-08,West,Product D,20,220,4400
2023-01-09,North,Product A,10,200,2000
2023-01-10,South,Product B,15,150,2250
2023-01-11,East,Product C,8,180,1440
2023-01-12,West,Product D,20,220,4400
2023-01-13,North,Product A,10,200,2000
2023-01-14,South,Product B,15,150,2250
2023-01-15,East,Product C,8,180,1440
2023-01-16,West,Product D,20,220,4400
2023-01-17,North,Product A,10,200,2000
2023-01-18,South,Product B,15,150,2250
2023-01-19,East,Product C,8,180,1440
2023-01-20,West,Product D,20,220,4400
2023-01-21,North,Product A,10,200,2000
2023-01-22,South,Product B,15,150,2250
2023-01-23,East,Product C,8,180,1440
2023-01-24,West,Product D,20,220,4400
2023-01-25,North,Product A,10,200,2000
2023-01-26,South,Product B,15,150,2250
2023-01-27,East,Product C,8,180,1440
2023-01-28,West,Product D,20,220,4400
2023-01-29,North,Product A,10,200,2000
2023-01-30,South,Product B,15,150,2250
2023-01-31,East,Product C,8,180,1440
2023-02-01,West,Product D,20,220,4400
2023-02-02,North,Product A,10,200,2000
2023-02-03,South,Product B,15,150,2250
2023-02-04,East,Product C,8,180,1440
2023-02-05,West,Product D,20,220,4400
2023-02-06,North,Product A,10,200,2000
2023-02-07,South,Product B,15,150,2250
2023-02-08,East,Product C,8,180,1440
2023-02-09,West,Product D,20,220,4400
2023-02-10,North,Product A,10,200,2000
2023-02-11,South,Product B,15,150,2250
2023-02-12,East,Product C,8,180,1440
2023-02-13,West,Product D,20,220,4400
2023-02-14,North,Product A,10,200,2000
2023-02-15,South,Product B,15,150,2250
2023-02-16,East,Product C,8,180,1440
2023-02-17,West,Product D,20,220,4400
2023-02-18,North,Product A,10,200,2000
2023-02-19,South,Product B,15,150,2250
2023-02-20,East,Product C,8,180,1440
2023-02-21,West,Product D,20,220,4400
2023-02-22,North,Product A,10,200,2000
2023-02-23,South,Product B,15,150,2250
2023-02-24,East,Product C,8,180,1440
2023-02-25,West,Product D,20,220,4400
2023-02-26,North,Product A,10,200,2000
2023-02-27,South,Product B,15,150,2250
2023-02-28,East,Product C,8,180,1440
2023-03-01,West,Product D,20,220,4400
2023-03-02,North,Product A,10,200,2000
2023-03-03,South,Product B,15,150,2250
2023-03-04,East,Product C,8,180,1440
2023-03-05,West,Product D,20,220,4400
2023-03-06,North,Product A,10,200,2000
2023-03-07,South,Product B,15,150,2250
2023-03-08,East,Product C,8,180,1440
2023-03-09,West,Product D,20,220,4400
2023-03-10,North,Product A,10,200,2000
2023-03-11,South,Product B,15,150,2250
2023-03-12,East,Product C,8,180,1440
2023-03-13,West,Product D,20,220,4400
2023-03-14,North,Product A,10,200,2000
2023-03-15,South,Product B,15,150,2250
2023-03-16,East,Product C,8,180,1440
2023-03-17,West,Product D,20,220,4400
2023-03-18,North,Product A,10,200,2000
2023-03-19,South,Product B,15,150,2250
2023-03-20,East,Product C,8,180,1440
2023-03-21,West,Product D,20,220,4400
2023-03-22,North,Product A,10,200,2000
2023-03-23,South,Product B,15,150,2250
2023-03-24,East,Product C,8,180,1440
2023-03-25,West,Product D,20,220,4400
2023-03-26,North,Product A,10,200,2000
2023-03-27,South,Product B,15,150,2250
2023-03-28,East,Product C,8,180,1440
2023-03-29,West,Product D,20,220,4400
2023-03-30,North,Product A,10,200,2000
2023-03-31,South,Product B,15,150,2250
2023-04-01,East,Product C,8,180,1440
2023-04-02,West,Product D,20,220,4400
2023-04-03,North,Product A,10,200,2000
2023-04-04,South,Product B,15,150,2250
2023-04-05,East,Product C,8,180,1440
2023-04-06,West,Product D,20,220,4400
2023-04-07,North,Product A,10,200,2000
2023-04-08,South,Product B,15,150,2250
2023-04-09,East,Product C,8,180,1440
2023-04-10,West,Product D,20,220,4400
